" ","  ","  "
"שם לקוח","כתובת","מספר חוזה"
"Sample User","Sample Address","000000000000"
"סוג מונה","קוד מונה","מספר מונה"
"צריכה","503","00000000"
"קוד ומספר מונה","סוג מונה","תאריך","מועד תחילת הפעימה","צריכה/ייצור בקוט""ש","הזרמה בקוט""ש"
"503-00000000","צריכה","01/01/2024","00:00",0.042,0
"503-00000000","צריכה","01/01/2024","00:15",0.046,0
"503-00000000","צריכה","01/01/2024","00:30",0.058,0
"503-00000000","צריכה","01/01/2024","00:45",0.055,0
"503-00000000","צריכה","01/01/2024","01:00",0.044,0
"503-00000000","צריכה","01/01/2024","01:15",0.051,0
"503-00000000","צריכה","01/01/2024","01:30",0.057,0
"503-00000000","צריכה","01/01/2024","01:45",0.051,0
"503-00000000","צריכה","01/01/2024","02:00",0.062,0
"503-00000000","צריכה","01/01/2024","02:15",0.058,0
"503-00000000","צריכה","01/01/2024","02:30",0.050,0
"503-00000000","צריכה","01/01/2024","02:45",0.042,0
"503-00000000","צריכה","01/01/2024","03:00",0.062,0
"503-00000000","צריכה","01/01/2024","03:15",0.061,0
"503-00000000","צריכה","01/01/2024","03:30",0.049,0
"503-00000000","צריכה","01/01/2024","03:45",0.060,0
"503-00000000","צריכה","01/01/2024","04:00",0.039,0
"503-00000000","צריכה","01/01/2024","04:15",0.049,0
"503-00000000","צריכה","01/01/2024","04:30",0.057,0
"503-00000000","צריכה","01/01/2024","04:45",0.038,0
"503-00000000","צריכה","01/01/2024","05:00",0.052,0
"503-00000000","צריכה","01/01/2024","05:15",0.052,0
"503-00000000","צריכה","01/01/2024","05:30",0.055,0
"503-00000000","צריכה","01/01/2024","05:45",0.054,0
"503-00000000","צריכה","01/01/2024","06:00",0.106,0
"503-00000000","צריכה","01/01/2024","06:15",0.094,0
"503-00000000","צריכה","01/01/2024","06:30",0.077,0
"503-00000000","צריכה","01/01/2024","06:45",0.114,0
"503-00000000","צריכה","01/01/2024","07:00",0.096,0
"503-00000000","צריכה","01/01/2024","07:15",0.087,0
"503-00000000","צריכה","01/01/2024","07:30",0.080,0
"503-00000000","צריכה","01/01/2024","07:45",0.086,0
"503-00000000","צריכה","01/01/2024","08:00",0.122,0
"503-00000000","צריכה","01/01/2024","08:15",0.101,0
"503-00000000","צריכה","01/01/2024","08:30",0.092,0
"503-00000000","צריכה","01/01/2024","08:45",0.103,0
"503-00000000","צריכה","01/01/2024","09:00",0.075,0
"503-00000000","צריכה","01/01/2024","09:15",0.066,0
"503-00000000","צריכה","01/01/2024","09:30",0.069,0
"503-00000000","צריכה","01/01/2024","09:45",0.076,0
"503-00000000","צריכה","01/01/2024","10:00",0.065,0
"503-00000000","צריכה","01/01/2024","10:15",0.081,0
"503-00000000","צריכה","01/01/2024","10:30",0.063,0
"503-00000000","צריכה","01/01/2024","10:45",0.071,0
"503-00000000","צריכה","01/01/2024","11:00",0.074,0
"503-00000000","צריכה","01/01/2024","11:15",0.082,0
"503-00000000","צריכה","01/01/2024","11:30",0.073,0
"503-00000000","צריכה","01/01/2024","11:45",0.080,0
"503-00000000","צריכה","01/01/2024","12:00",0.055,0
"503-00000000","צריכה","01/01/2024","12:15",0.072,0
"503-00000000","צריכה","01/01/2024","12:30",0.064,0
"503-00000000","צריכה","01/01/2024","12:45",0.074,0
"503-00000000","צריכה","01/01/2024","13:00",0.053,0
"503-00000000","צריכה","01/01/2024","13:15",0.083,0
"503-00000000","צריכה","01/01/2024","13:30",0.062,0
"503-00000000","צריכה","01/01/2024","13:45",0.054,0
"503-00000000","צריכה","01/01/2024","14:00",0.083,0
"503-00000000","צריכה","01/01/2024","14:15",0.062,0
"503-00000000","צריכה","01/01/2024","14:30",0.071,0
"503-00000000","צריכה","01/01/2024","14:45",0.063,0
"503-00000000","צריכה","01/01/2024","15:00",0.078,0
"503-00000000","צריכה","01/01/2024","15:15",0.084,0
"503-00000000","צריכה","01/01/2024","15:30",0.064,0
"503-00000000","צריכה","01/01/2024","15:45",0.072,0
"503-00000000","צריכה","01/01/2024","16:00",0.054,0
"503-00000000","צריכה","01/01/2024","16:15",0.067,0
"503-00000000","צריכה","01/01/2024","16:30",0.063,0
"503-00000000","צריכה","01/01/2024","16:45",0.058,0
"503-00000000","צריכה","01/01/2024","17:00",0.295,0
"503-00000000","צריכה","01/01/2024","17:15",0.190,0
"503-00000000","צריכה","01/01/2024","17:30",0.256,0
"503-00000000","צריכה","01/01/2024","17:45",0.267,0
"503-00000000","צריכה","01/01/2024","18:00",0.220,0
"503-00000000","צריכה","01/01/2024","18:15",0.287,0
"503-00000000","צריכה","01/01/2024","18:30",0.244,0
"503-00000000","צריכה","01/01/2024","18:45",0.247,0
"503-00000000","צריכה","01/01/2024","19:00",0.200,0
"503-00000000","צריכה","01/01/2024","19:15",0.271,0
"503-00000000","צריכה","01/01/2024","19:30",0.214,0
"503-00000000","צריכה","01/01/2024","19:45",0.263,0
"503-00000000","צריכה","01/01/2024","20:00",0.237,0
"503-00000000","צריכה","01/01/2024","20:15",0.215,0
"503-00000000","צריכה","01/01/2024","20:30",0.256,0
"503-00000000","צריכה","01/01/2024","20:45",0.190,0
"503-00000000","צריכה","01/01/2024","21:00",0.241,0
"503-00000000","צריכה","01/01/2024","21:15",0.208,0
